assembly Constituency,Candidate Name,Party,Status,Votes,Margin,state
YUKSOM TASHIDING(1),TSHERING THENDUP BHUTIA,Sikkim Krantikari Morcha,won,8271,(+ 4812),sikkim
YUKSOM TASHIDING(1),MEEWANG GYATSO BHUTIA,Sikkim Democratic Front,lost,3459,( -4812),sikkim
YUKSOM TASHIDING(1),JIGMEY BHUTIA,Citizen Action Party-Sikkim,lost,1024,( -7247),sikkim
YUKSOM TASHIDING(1),KUNZANG SHERAB BHUTIA,Bharatiya Janata Party,lost,318,( -7953),sikkim
YUKSOM TASHIDING(1),KAMAL LEPCHA,Indian National Congress,lost,170,( -8101),sikkim
YUKSOM TASHIDING(1),PALDEN LEPCHA,Independent,lost,109,( -8162),sikkim
YUKSOM TASHIDING(1),SONAM PALZOR BHUTIA,Independent,lost,94,( -8177),sikkim
YUKSOM TASHIDING(1),NOTA,None of the Above,,159,( -8112),sikkim
YANGTHANG(2),BHIM HANG LIMBOO,Sikkim Krantikari Morcha,won,6621,(+ 2556),sikkim
YANGTHANG(2),KESHAM LIMBOO,Sikkim Democratic Front,lost,4065,( -2556),sikkim
YANGTHANG(2),PHIP DHOJ LIMBOO,Citizen Action Party-Sikkim,lost,551,( -6070),sikkim
YANGTHANG(2),PRAVIN SHARMA,Independent,lost,536,( -6085),sikkim
YANGTHANG(2),SANCHA MAN LIMBOO,Bharatiya Janata Party,lost,185,( -6436),sikkim
YANGTHANG(2),MANGAL SUBBA (LIMBOO),Indian National Congress,lost,81,( -6540),sikkim
YANGTHANG(2),NOTA,None of the Above,,85,( -6536),sikkim
MANEYBONG-DENTAM(3),SUDESH KUMAR SUBBA,Sikkim Krantikari Morcha,won,8553,(+ 6039),sikkim
MANEYBONG-DENTAM(3),TIKA RAM CHETTRI,Sikkim Democratic Front,lost,2514,( -6039),sikkim
MANEYBONG-DENTAM(3),NARENDRA KUMAR SUBBA,Bharatiya Janata Party,lost,1924,( -6629),sikkim
MANEYBONG-DENTAM(3),PRAKASH SHARMA,Citizen Action Party-Sikkim,lost,840,( -7713),sikkim
MANEYBONG-DENTAM(3),DIPENDRA GURUNG,Independent,lost,122,( -8431),sikkim
MANEYBONG-DENTAM(3),NAR BAHADUR GURUNG,Indian National Congress,lost,118,( -8435),sikkim
MANEYBONG-DENTAM(3),NOTA,None of the Above,,145,( -8408),sikkim
GYALSHING-BARNYAK(4),LOK NATH SHARMA,Sikkim Krantikari Morcha,won,5612,(+ 963),sikkim
GYALSHING-BARNYAK(4),KHUSANDRA PRASAD SHARMA,Independent,lost,4649,( -963),sikkim
GYALSHING-BARNYAK(4),TIKA PRASAD SHARMA,Sikkim Democratic Front,lost,829,( -4783),sikkim
GYALSHING-BARNYAK(4),PUJAN KHARKA,Citizen Action Party-Sikkim,lost,317,( -5295),sikkim
GYALSHING-BARNYAK(4),BHARAT KUMAR SHARMA,Bharatiya Janata Party,lost,155,( -5457),sikkim
GYALSHING-BARNYAK(4),NOTA,None of the Above,,105,( -5507),sikkim
RINCHENPONG(5),ERUNG TENZING LEPCHA,Sikkim Krantikari Morcha,won,9624,(+ 6400),sikkim
