Party,Won,Total,Parliamentary Constituency,Candidate Name,candidateParty,Status,Votes,Margin
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),C.M.RAMESH,Bharatiya Janata Party,won,762069,(+ 296530)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,lost,465539,( -296530)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),VEGI VENKATESH,Indian National Congress,lost,25651,( -736418)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),PALAKA SREERAMA MURTHY,Bahujan Samaj Party,lost,19157,( -742912)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),VANKAYALA RAMACHANDRA RAO,Independent,lost,4002,( -758067)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),LOVARAJU SIDDHA,Independent,lost,3852,( -758217)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,lost,3557,( -758512)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),GARA SURYA RAO,Independent,lost,3124,( -758945)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,lost,2619,( -759450)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),NAGESWARA RAO PETLA,Independent,lost,2184,( -759885)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),ADARI SARAT CHANDRA,Jai Bharat National Party,lost,1913,( -760156)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),VIJAYA LAKSHMI KARRI,Pyramid Party of India,lost,1591,( -760478)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),DR. THUMMAPALA HARI  SHANKAR,Independent,lost,1576,( -760493)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),JUNNURI J SRINIVAS,Independent,lost,1201,( -760868)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),APPALANAIDU TUMMAGUNTA,Independent,lost,1062,( -761007)
Bharatiya Janata Party - BJP,240,240,Anakapalle(5),NOTA,None of the Above,,26235,( -735834)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,won,726515,(+ 239139)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,lost,487376,( -239139)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),GIDUGU RUDRARAJU,Indian National Congress,lost,32508,( -694007)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),GANESWARA RAO PARAMATA,Bahujan Samaj Party,lost,20409,( -706106)
Bharatiya Janata Party - BJP,240,240,Rajahmundry(8),BATTULA BALARAMAKRISHNA,Navarang Congress Party,lost,17008,( -709507)
